Name,City,State,Type,Star_Rating,Rating,latitude,longitude,address
Executive Inn,Navi Mumbai,Maharashtra,Hotel,0.0,1.8,19.0679241,73.1080243,"P/16, MIDC, Opp. Taloja Post Office, Dena Bank, Taloja"
Elis Hospitality Narayan Krupa Arcade,Ahmedabad,Gujarat,Service Apartment,0.0,0.0,23.012452,72.5112209,"401,Prahald Ngar,Behind,Safa Pegasus"
DEVENTURE HOTEL,Karnal,Haryana,Hotel,3.0,4.3,29.6704762,76.9914756,"NAMESTE CHOWK, NH-1"
Devraj Villa - A Boutique Home Stay,Udaipur,Rajasthan,BnB,0.0,4.9,24.5528069732,73.6865836539,"119-D, Shikarbadi Colony, Goverdhan Villas, Udaipur- 313002 (Rajasthan)"
Dream World,Lucknow,Uttar Pradesh,Hotel,3.0,0.0,26.668792653,80.8120071089,"25th Kilometers Milestone, Kanpur Road, Lucknow - 226005, Near Banthra Market"
Executel  Greenlands,Hyderabad,Andhra Pradesh,Hotel,0.0,3.4,17.4370061,78.4582306,"HNo 6-3-1216/6/1, Subbamma Towers, Kundan Bagh, Beside Life Style Building Lane, Begumpet"
Evershine Residency,Cochin,Kerala,Hotel,0.0,0.0,9.9969548,76.2860462,"65,SRM Road, Ernakulam North, Near North Railway Station"
EXCEL PARADISE INN,Lucknow,Uttar Pradesh,Hotel,2.0,0.0,26.862338,81.0199613,"5/182, Gomti Nagar, Lucknow - 226010,"
FabHotel Anjuna Beachfront,Goa,Goa,Resort,3.0,3.1,15.57509422,73.74112701,"Pelomar Chale, Goankar Vaddo, Mid Anjuna Beach, Goa, India"
EXECUTIVE INN HOTEL,Agartala,Tripura,Hotel,1.0,0.0,23.831457,91.2867777,"Ground Floor, MANTRI BARI ROAD, Agartala HO, Agartala - 799001, Near Post Office Chowmuhani"
Dream Catcher,Ernakulam,Kerala,Homestay,0.0,4.4,9.959093094,76.24331665,"CCEA Hall Road, Right side of Thamaraparambu School, KOKERS Cinema Theater Bus Stop, Fort Cochin"
Flic Houseboat,Srinagar,Jammu and Kashmir,Houseboat,0.0,4.8,34.1182224,74.8317052,Nigeen Lake Srinagar
Emerald Homes,Mysore,Karnataka,Service Apartment,0.0,0.0,12.2888755,76.6243105,"7th cross, Navilu road, Kuvempunagar NO. 119 A and B block"
Food &amp; Banquets ( Hotel Empees ),Siliguri,West Bengal,Hotel,0.0,0.0,26.7156791,88.4263529,"Bidhan Road, Hakim Para, Siliguri"
Enkay Residency M Block,Gurgaon,Haryana,Guest House,0.0,0.0,28.4898032,77.0868946,"M-1/28,DLF Phase-2,Gurgaon"
FabHotel Friends Colony,Delhi,Delhi,Hotel,3.0,4.2,28.5678123,77.2616473,"Hotel Mint casa A-10, Mathura Rd, New Friends Colony, New Delhi, Delhi 110065"
Deventure Hotel Chail,Chail,Himachal Pradesh,Hotel,3.0,4.3,30.9686366,77.1965012,"Kandaghat-Chail Road, 1km before Chail,"
Dragonfly Apartment,Mumbai,Maharashtra,Service Apartment,3.0,3.7,19.1110063436,72.8670459573,"Flat No. 701, 7th floor of Chitrakoot CHS Ltd, situated at J. B. Nagar, Andheri (E), Mumbai 400 059"
fazar residency,Delhi,Delhi,Hotel,0.0,0.0,28.589228,77.246286,"BUILDING NO.6, OPP:- B1 BLOCK, HAZRAT NIZAMUDDIN WEST, NEW DELHI -110013"
Emerald County Resort  &amp; Club,Pune,Maharashtra,Resort,4.0,4.5,18.7077988884,73.6821211643,"Emerald County Resorts and Clubs, Near Somatne, Pioneer Hospital, Talegaon Dhabade"
Dew Drops Farm Resorts,Munnar,Kerala,Resort,0.0,0.0,10.0457924552,76.9598916429,"Kallar Anakkulam Road, Kurishupara, Munnar"
Edesia,Lucknow,Uttar Pradesh,Hotel,3.0,3.2,26.8532093,81.0176685,"B-1/55 F, Vineet Khand, Next to Mr. Brown Bakery. Gomtinagar, Lucknow."
Fortune Select JP Cosmos(Unit of MICHPL),Bangalore,Karnataka,Hotel,5.0,3.7,12.9893285059,77.5951828347,"No 49, Cunningham Crescent Road, Behind Sigma Mall"
Forest village holiday homes,Silvassa,Dadra and Nagar Haveli,Resort,0.0,4.4,20.2762659,73.0083061,"Bamanpada,rudana,khanvel"
Fortune Park Centre Point,Jamshedpur,Jharkhand,Hotel,4.0,3.7,22.799517,86.1737346,"2, Inner Circle Road, Bistupur, Jamshedpur,"
Estrela Do Mar Beach Resort - A Beach Property,Goa,Goa,Resort,4.0,4.1,15.5511903868,73.7553377654,Estrela Do Mar Beach Resort  Khobra Vaddo Baga Calangute   Goa   403516
DEVANGI ATITHYA HOMESTAY,Shimoga,Karnataka,Homestay,0.0,0.0,13.9299299,75.568101,"Devangi Post, Thirthahalli Taluk,Shimoga District, Karnataka - 577 415"
Emarald Wild West Wayanad,Wayanad,Kerala,Resort,3.0,3.9,11.6621478616,76.3557149732,"Near sale tax check post, Muthanga, Sulthan Bathery, Wayanad"
Fraddie Guest House,Goa,Goa,Guest House,0.0,3.9,15.5513489084,73.7550957009,"H.No. 6/34B Khobrawado, Calangute Goa"
"Dynasty Resort, Khurpatal",Nainital,Uttarakhand,Resort,3.0,3.4,29.36989802,79.428070787,"Khurpatal, Nainital (West), on Kaladungi Road, Nainital , 10 Kms From Nainital."
Executive Comfort (Guindy),Chennai,Tamil Nadu,Guest House,0.0,4.1,13.0145899014,80.2299189921,"5/2, North Mada Street,Srinagar Colony, Saidapet,"
FabHotel Blossoms Pune Airport,Pune,Maharashtra,Hotel,3.0,3.8,18.5617616,73.9077983,"Plot No 96,Sakore Nagar,Near Axis Bank, opposite Union Bank Of India, Viman nagar Pune"
Dhuri Homestay,Sindhudurg,Maharashtra,Homestay,0.0,0.0,15.8514136,73.6389038,"A/P - Math, Near Bowlekar Cashew Factory,Tal- Vengurla Dist - Sindhudurg Maharashtra"
Elysium Resorts,Alibaug,Maharashtra,Resort,3.0,4.0,18.4989823411,72.9620651901,"Village Yesde, Revdanda Roha Road (2.5 kms ahead Of Birla Mandir, 6Km Ahead Of Revdanda Beach)"
Dwarika Residency Shelapani,Kharapathar,Himachal Pradesh,Bungalow,0.0,5.0,31.1425965376,77.7003915535,V-po Mandhol Tehs Jubbal Distt Shimla 12 Km from Kharapathar
Diana Hotel,Udupi,Karnataka,Hotel,0.0,0.0,13.3371151,74.746596,"Diana Restaurant and Hotels ,UDUPI Private Limited Jodukatte Ajjarkad"
